date,year,month,ticker,firm,marketcap
2018-01-01,2018,1,ISBTR,IS BANKASI (B),43175.2
2018-01-01,2018,1,ISCTR,IS BANKASI (C),36224758.5
2018-01-01,2018,1,SKBNK,SEKERBANK,2153880.0
2018-01-01,2018,1,HALKB,T. HALK BANKASI,12675000.0
2018-01-01,2018,1,TSKB,T.S.K.B.,3888000.0000000005
2018-01-01,2018,1,VAKBN,VAKIFLAR BANKASI,18825000.0
2018-01-01,2018,1,YKBNK,YAPI VE KREDI BANK.,20257258.983440004
2018-01-01,2018,1,AKGRT,AKSIGORTA,1217880.0
2018-01-01,2018,1,ANHYT,ANADOLU HAYAT EMEK.,3199200.0
2018-01-01,2018,1,ANSGR,ANADOLU SIGORTA,1865000.0
2018-01-01,2018,1,GUSGR,GUNES SIGORTA,577800.0
2018-01-01,2018,1,RAYSG,RAY SIGORTA,251127.57824
2018-01-01,2018,1,CRDFA,CREDITWEST FAKTORING,112800.0
2018-01-01,2018,1,GARFA,GARANTI FAKTORING,238500.0
2018-01-01,2018,1,ISFIN,IS FIN.KIR.,981956.99395
2018-01-01,2018,1,SEKFK,SEKER FIN. KIR.,118350.0
2018-01-01,2018,1,VAKFN,VAKIF FIN. KIR.,233260.0
2018-01-01,2018,1,ALARK,ALARKO HOLDING,1602258.39
2018-01-01,2018,1,BRYAT,BORUSAN YAT. PAZ.,1242000.0
2018-01-01,2018,1,DOHOL,DOGAN HOLDING,2224397.5448
2018-01-01,2018,1,ECILC,ECZACIBASI ILAC,3241279.8000000003
2018-01-01,2018,1,ECZYT,ECZACIBASI YATIRIM,1177050.0
2018-01-01,2018,1,GLYHO,GLOBAL YAT. HOLDING,1580558.7881605
2018-01-01,2018,1,GSDHO,GSD HOLDING,391500.0
2018-01-01,2018,1,IHLAS,IHLAS HOLDING,411008.0
2018-01-01,2018,1,KCHOL,KOC HOLDING,46406934.315
2018-01-01,2018,1,MZHLD,MAZHAR ZORLU HOLDING,39551.4
2018-01-01,2018,1,NTHOL,NET HOLDING,1381496.04565
2018-01-01,2018,1,SISE,SISE CAM,11250000.0
2018-01-01,2018,1,SAHOL,SABANCI HOLDING,23403433.08857
2018-01-01,2018,1,TAVHL,TAV HAVALIMANLARI,8043046.875
2018-01-01,2018,1,TKFEN,TEKFEN HOLDING,6001400.0
2018-01-01,2018,1,TRCAS,TURCAS PETROL,656100.0
2018-01-01,2018,1,ATLAS,ATLAS YAT. ORT.,29700.0
2018-01-01,2018,1,ETYAT,EURO TREND YAT. ORT.,20600.0
2018-01-01,2018,1,GRNYO,GARANTI YAT. ORT.,24640.0
2018-01-01,2018,1,ISYAT,IS YAT. ORT.,158993.29116
2018-01-01,2018,1,OYAYO,OYAK YAT. ORT.,23000.0
2018-01-01,2018,1,AKMGY,AKMERKEZ GMYO,778817.6
2018-01-01,2018,1,ALGYO,ALARKO GMYO,581533.3524
2018-01-01,2018,1,AGYO,ATAKULE GMYO,323400.0
2018-01-01,2018,1,DGGYO,DOGUS GMYO,1075705.22664
2018-01-01,2018,1,ISGYO,IS GMYO,1324937.5
2018-01-01,2018,1,NUGYO,NUROL GMYO,393600.0
2018-01-01,2018,1,OZGYO,OZDERICI GMYO,159000.0
2018-01-01,2018,1,PEGYO,PERA GMYO,88209.0
2018-01-01,2018,1,SNGYO,SINPAS GMYO,456000.0
2018-01-01,2018,1,VKGYO,VAKIF GMYO,582900.0
2018-01-01,2018,1,YKGYO,YAPI KREDI KORAY GMYO,92000.0
2018-01-01,2018,1,EGCYO,EGELI & CO TARIM GIRISIM,20680.0
2018-01-01,2018,1,ISGSY,IS GIRISIM,119443.968
2018-01-01,2018,1,ISMEN,IS Y. MEN. DEG.,876850.0000000001
2018-01-01,2018,1,ALCTL,ALCATEL LUCENT TELETAS,303414.05248
2018-01-01,2018,1,ARENA,ARENA BILGISAYAR,136960.0
2018-01-01,2018,1,ARMDA,ARMADA BILGISAYAR,148080.0
2018-01-01,2018,1,DGATE,DATAGATE BILGISAYAR,397500.0
2018-01-01,2018,1,ESCOM,ESCORT TEKNOLOJI,61990.204
2018-01-01,2018,1,INDES,INDEKS BILGISAYAR,863520.0
2018-01-01,2018,1,KAREL,KAREL ELEKTRONIK,433317.6
2018-01-01,2018,1,LINK,LINK BILGISAYAR,91135.0
2018-01-01,2018,1,LOGO,LOGO YAZILIM,1443750.0
2018-01-01,2018,1,NETAS,NETAS TELEKOM.,1010593.584
2018-01-01,2018,1,PKART,PLASTIKKART,67567.5
2018-01-01,2018,1,ASELS,ASELSAN,33240000.000000004
2018-02-01,2018,2,KOZAA,KOZA MADENCILIK,2115036.0
2018-02-01,2018,2,ALYAG,ALTINYAG,115500.00000000001
2018-02-01,2018,2,AEFES,ANADOLU EFES,15205263.15384
2018-02-01,2018,2,BANVT,BANVIT,1900448.001
2018-02-01,2018,2,CCOLA,COCA COLA ICECEK,9391369.271440001
2018-02-01,2018,2,DARDL,DARDANEL,87914.89244999998
2018-02-01,2018,2,ERSU,ERSU GIDA,43200.0
2018-02-01,2018,2,FRIGO,FRIGO PAK GIDA,5880.0
2018-02-01,2018,2,KENT,KENT GIDA,4178578.7161999997
2018-02-01,2018,2,KERVT,KEREVITAS GIDA,2425850.0
2018-02-01,2018,2,KNFRT,KONFRUT GIDA,102498.0
2018-02-01,2018,2,KRSTL,KRISTAL KOLA,92160.0
2018-02-01,2018,2,MERKO,MERKO GIDA,46698.0
2018-02-01,2018,2,PENGD,PENGUEN GIDA,113424.0
2018-02-01,2018,2,PETUN,PINAR ET VE UN,456317.55
2018-02-01,2018,2,PINSU,PINAR SU,80125.24811654999
2018-02-01,2018,2,PNSUT,PINAR SUT,566832.7562625
2018-02-01,2018,2,SELGD,SELCUK GIDA,7034.86938
2018-02-01,2018,2,TBORG,T.TUBORG,3321835.0059
2018-02-01,2018,2,ULKER,ULKER BISKUVI,7715520.0
2018-02-01,2018,2,ATEKS,AKIN TEKSTIL,281988.0
